event_number,start_time,end_time,duration_hours,max_customers_out,total_customers_out,num_outages,num_restores,customer_hours,counties_affected,max_sknt,min_sknt,avg_sknt,max_gust,min_gust,avg_gust,max_tmpf,min_tmpf,avg_tmpf,total_p01i,max_p01i,avg_p01i
309,2015-03-01 17:45:00,2015-03-01 19:15:00,1.5,4565,4567,5,2,6544.0,Los Angeles,15.0,0.0,5.785714,20.0,0.0,0.17857143,62.0,40.0,54.730354,0.0202,0.01,0.00018035714
311,2015-03-01 23:45:00,2015-03-02 00:30:00,0.75,3877,3877,2,2,2901.75,Los Angeles,12.0,3.0,7.640625,15.0,0.0,1.828125,61.0,38.0,54.309376,1.0410999,0.21,0.016267186
313,2015-03-03 17:45:00,2015-03-03 20:15:00,2.5,6830,7928,5,6,12236.5,Los Angeles,17.0,0.0,3.6136363,22.0,0.0,1.2045455,65.0,42.0,57.694656,0.0,0.0,0.0
315,2015-03-03 20:30:00,2015-03-04 00:15:00,3.75,5933,6255,6,10,19284.25,Los Angeles,29.16,0.0,8.850157,25.0,0.0,2.6367188,66.2,45.0,60.58211,0.0,0.0,0.0
317,2015-03-04 00:30:00,2015-03-04 00:45:00,0.25,3955,3955,1,1,988.75,Los Angeles,18.0,4.0,9.84375,18.0,0.0,1.125,64.4,43.0,58.8,1e-04,1e-04,3.125e-06
319,2015-03-04 04:30:00,2015-03-04 05:15:00,0.75,3834,3834,2,2,2864.0,Los Angeles,16.0,0.0,5.828125,0.0,0.0,0.0,60.0,39.0,53.237503,0.0,0.0,0.0
321,2015-03-04 05:30:00,2015-03-04 06:45:00,1.25,4558,4558,1,3,5117.0,Los Angeles,14.0,0.0,5.0,0.0,0.0,0.0,59.0,39.0,52.560413,0.0,0.0,0.0
323,2015-03-04 07:00:00,2015-03-04 11:15:00,4.25,6657,6675,7,7,17572.25,Los Angeles,10.0,0.0,3.0104167,0.0,0.0,0.0,59.0,31.0,49.558334,0.0,0.0,0.0
325,2015-03-04 13:45:00,2015-03-04 14:15:00,0.5,3859,3859,1,2,1924.5,Los Angeles,6.0,0.0,3.0625,0.0,0.0,0.0,55.4,30.0,46.0625,0.0,0.0,0.0
327,2015-03-04 19:15:00,2015-03-04 21:00:00,1.75,4752,4759,4,4,7506.0,Los Angeles,43.0,0.0,7.3828125,22.0,0.0,2.90625,71.0,50.0,64.79844,0.0,0.0,0.0
329,2015-03-04 22:00:00,2015-03-04 23:00:00,1.0,3898,3910,2,3,3860.25,Los Angeles,13.0,4.0,7.7625,19.0,0.0,2.225,73.4,53.0,66.472496,0.0,0.0,0.0
331,2015-03-06 07:45:00,2015-03-06 08:30:00,0.75,8572,8572,2,1,6383.75,Los Angeles,18.0,0.0,4.3125,25.0,0.0,1.1875,65.0,32.0,55.428123,0.0,0.0,0.0
333,2015-03-08 04:00:00,2015-03-08 05:00:00,1.0,4503,4503,3,1,4342.5,Los Angeles,10.0,0.0,4.2125,19.0,0.0,0.475,71.0,47.0,63.51,0.0,0.0,0.0
335,2015-03-08 23:00:00,2015-03-09 02:00:00,3.0,9572,18512,5,8,20319.0,Los Angeles,16.0,0.0,6.826923,18.0,0.0,0.34615386,79.0,56.0,69.63077,0.0,0.0,0.0
337,2015-03-09 02:15:00,2015-03-09 04:30:00,2.25,4945,5565,5,4,9713.0,Los Angeles,17.0,0.0,5.35625,0.0,0.0,0.0,71.6,49.0,61.348747,0.0,0.0,0.0
339,2015-03-09 09:00:00,2015-03-09 10:45:00,1.75,9137,9137,1,5,14711.0,Los Angeles,20.0,0.0,3.28125,0.0,0.0,0.0,66.2,38.0,53.882812,0.0,0.0,0.0
341,2015-03-09 16:30:00,2015-03-09 19:30:00,3.0,5869,5895,8,5,15974.25,Los Angeles,22.0,0.0,3.5288463,30.0,0.0,1.7596154,74.0,47.0,63.34808,0.0,0.0,0.0
343,2015-03-10 09:45:00,2015-03-10 10:00:00,0.25,5301,5301,1,1,1325.25,Los Angeles,6.0,0.0,1.5,0.0,0.0,0.0,61.0,40.0,54.18125,0.0,0.0,0.0
345,2015-03-10 16:45:00,2015-03-10 21:00:00,4.25,5425,5815,13,5,20686.25,Los Angeles,10.0,0.0,3.3645833,18.0,0.0,0.5138889,82.4,50.0,68.72986,0.0,0.0,0.0
347,2015-03-11 20:45:00,2015-03-11 22:00:00,1.25,4862,4862,2,4,5199.0,Los Angeles,18.0,0.0,7.4270835,22.0,0.0,0.45833334,74.0,57.0,68.12708,0.00059999997,1e-04,6.25e-06
349,2015-03-12 16:15:00,2015-03-12 16:30:00,0.25,4026,4026,1,1,1006.5,Los Angeles,13.0,0.0,3.34375,26.0,0.0,2.6875,80.6,50.0,66.11875,0.0,0.0,0.0
351,2015-03-13 17:00:00,2015-03-13 18:45:00,1.75,4113,4310,3,4,6907.5,Los Angeles,24.0,0.0,7.7578125,32.0,0.0,5.3828125,88.0,62.0,79.19624,0.0,0.0,0.0
